Code;Title;DepthInKind
8D81;Trastornos Del Sistema Nervioso Autónomo Heredados;1
8D82;Trastornos Autoinmunes Que Afectan Al Sistema Nervioso Autónomo;1
8D83;Trastorno Del Sistema Nervioso Autónomo Por Infección;1
8D84;Disautonomía Pura;1
8D85;Trastorno Del Sistema Nervioso Autónomo Provocado Por Sustancias;1
8D86;Hiperactividad Del Sistema Nervioso Autónomo;1
8D87;Disautonomía Por Un Trastorno Neurodegenerativo Especificado;1
8D87.0;Atrofia Multisistémica;2
8D87.00;Atrofia Multisistémica De Tipo Cerebeloso;3
8D87.01;Atrofia Multisistémica De Tipo Parkinsoniano;3
8D87.0Y;Otra Atrofia Multisistémica Especificada;3
8D87.0Z;"Atrofia Multiosistémica, Sin Especificación";3
8D87.Y;Otra Disautonomía Especificada Por Un Trastorno Neurodegenerativo Especificado;2
8D88;Neuropatías Autonómicas;1
8D88.0;Neuropatía Autónoma Por Alteraciones De Los Canales De Sodio;2
8D88.1;Neuropatía Autonómica Por Diabetes Mellitus;2
8D88.2;Neuropatía Autonómica Inmunomediada;2
8D88.3;Disautonomía Provocada Por Sustancias Tóxicas;2
8D88.4;Neuropatía Autonómica En Las Enfermedades Metabólicas Y Endocrinas;2
8D88.Y;Otras Neuropatías Autonómicas Especificadas;2
8D88.Z;"Neuropatías Autonómicas, Sin Especificación";2
8D89;Intolerancia Ortostática;1
8D89.0;Síncope Reflejo;2
8D89.1;Síncope Por Insuficiencia Autónoma;2
8D89.2;Síndrome De Taquicardia Ortostática Postural;2
8D89.3;Insuficiencia Barorrefleja;2
8D89.Y;Otra Intolerancia Ortostática Especificada;2
8D89.Z;"Intolerancia Ortostática, Sin Especificación";2
8D8A;Disautonomías Segmentarias O Focales;1
8D8A.0;Síndrome De Dolor Regional Complejo;2
8D8A.00;Síndrome De Dolor Regional Complejo De Tipo I;3
8D8A.01;Síndrome De Dolor Regional Complejo De Tipo Ii;3
8D8A.0Y;Otro Síndrome De Dolor Regional Complejo Especificado;3
8D8A.0Z;"Síndrome De Dolor Regional Complejo, Sin Especificación";3
8D8A.1;Síndrome De Horner;2
8D8A.2;Anisocoria Episódica;2
8D8A.Y;Otras Disautonomías Segmentarias O Focales Especificadas;2
8D8A.Z;"Disautonomías Segmentarias O Focales, Sin Especificación";2
8D8B;Trastornos De La Neurotransmisión Sináptica Autónoma;1
8D8C;Disreflexia Autónoma;1
8D8D;Hipoglucemia Inconsciente;1
8D8Y;Otros Trastornos Especificados Del Sistema Nervioso Autónomo;1
8D8Z;"Trastornos Del Sistema Nervioso Autónomo, Sin Especificación";1
8E00;Enfermedad De Creutzfeldt-Jakob Esporádica;1
8E01;Enfermedad Adquirida Por Priones;1
8E01.0;Enfermedad De Creutzfeldt-Jakob Yatrógena;2
8E01.1;Kuru;2
8E01.2;Enfermedad De Creutzfeldt-Jakob Variante;2
8E01.3;Otra Enfermedad De Creutzfeldt-Jakob Adquirida;2
8E02;Enfermedades Genéticas Por Priones;1
8E02.0;Enfermedad De Creutzfeldt-Jakob Genética;2
8E02.1;Síndrome De Gerstmann-Sträussler-Scheinker;2
8E02.2;Insomnio Familiar Letal;2
8E02.3;Otras Enfermedades Genéticas Por Priones;2
8E02.Y;Otras Enfermedades Genéticas Por Priones Especificadas;2
8E02.Z;"Enfermedades Genéticas Por Priones, Sin Especificación";2
8E03;Prionopatía Con Sensibilidad Variable A Las Proteasas;1
8E0Y;Otras Enfermedades Humanas Por Priones Especificadas;1
8E0Z;"Enfermedades Humanas Por Priones, Sin Especificación";1
8E20;Estado Vegetativo Persistente;1
8E21;Estado Vegetativo Permanente;1
8E22;Estado De Conciencia Mínima;1
8E22.0;Estado De Conciencia Mínima Plus;2
8E22.1;Estado De Conciencia Mínima Sin Reactividad A Estímulos Verbales;2
8E22.Y;Otro Estado De Conciencia Mínima Especificado;2
8E22.Z;"Estado De Conciencia Mínima, Sin Especificación";2
8E2Y;Otros Trastornos Especificados De La Conciencia;1
8E2Z;"Trastornos De La Conciencia, Sin Especificación";1
8E40;Trastornos De Las Meninges Menos Las Infecciones;1
8E40.0;Meningitis Neoplásica;2
8E40.1;Meningitis Química;2
8E40.2;Meningitis Inflamatoria;2
8E40.3;Aracnoiditis;2
8E40.Y;Otros Trastornos Especificados De Las Meninges Menos Las Infecciones;2
8E40.Z;"Trastornos De Las Meninges Menos Las Infecciones, Sin Especificación";2
8E41;Paquimeningitis;1
8E41.0;Paquimeningitis Por Infección;2
8E41.1;Paquimeningitis Hipertrófica Idiopática;2
8E41.Y;Otra Paquimeningitis Especificada;2
8E41.Z;"Paquimeningitis, Sin Especificación";2
8E42;Siderosis Superficial Del Sistema Nervioso;1
8E43;Trastornos Del Dolor;1
8E43.0;Dolor Neuropático;2
8E43.00;Síndrome Del Miembro Fantasma;3
8E43.0Y;Otro Dolor Neuropático Especificado;3
8E43.0Z;"Dolor Neuropático, Sin Especificación";3
8E43.Y;Otros Trastornos Del Dolor Especificados;2
8E43.Z;"Trastornos Del Dolor, Sin Especificación";2
8E44;Daño Cerebral Postanóxico;1
8E45;Síndrome De Enclaustramiento;1
8E46;Síndrome De Reye;1
8E47;"Encefalopatía, No Clasificada En Otra Parte";1
8E48;"Encefalitis, No Clasificada En Otra Parte";1
8E49;Síndrome De Fatiga Posviral;1
8E4A;Neuropatías Paraneoplásicas O Autoinmunitarias;1
8E4A.0;"Trastornos Paraneoplásicos O Autoinmunitarios Del Sistema Nervioso Central, El Encéfalo O La Médula Espinal";2
8E4A.1;Trastornos Autoinmunitarios O Paraneoplásicos Del Sistema Nervioso Autónomo O Periférico;2
8E4A.2;Trastornos Paraneoplásicos O Autoinmunitarios De La Transmisión Neuromuscular;2
8E4A.3;Trastornos Autoinmunitarios O Paraneoplásicos Del Músculo;2
8E4A.Y;Otras Neuropatías Paraneoplásicas O Autoinmunitarias Especificadas;2
8E4Y;Otros Trastornos Especificados Del Sistema Nervioso;1
8E4Z;"Otros Trastornos Del Sistema Nervioso, Sin Especificación";1
8E60;Fuga Tras Una Derivación Ventricular;1
8E61;Lesión Del Sistema Nervioso Tras Irradiación;1
8E61.0;Irradiación Del Encéfalo;2
8E61.1;Irradiación De La Médula Espinal;2
8E62;Meningitis Tras Un Procedimiento;1
8E63;Encefalopatía Tras Bomba;1
8E64;Infartos Cerebrales Multifocales;1
8E65;Encefalopatía Anóxica Isquémica;1
8E66;Hipotensión Intracraneana Debida A Punción Lumbar;1
8E7Y;Otras Enfermedades Especificadas Del Sistema Nervioso;1
8E7Z;"Enfermedades Del Sistema Nervioso, Sin Especificación";1
9A00;Posición Anómala Congénita De Los Párpados;1
9A00.0;Distopia Cantal;2
9A00.1;Telecanto;2
9A00.Y;Otra Posición Anómala Congénita Especificada De Los Párpados;2
9A00.Z;"Posición Anómala Congénita De Los Párpados, Sin Especificación";2
9A01;Trastornos Infecciosos Del Párpado;1
9A01.0;Celulitis Preseptal;2
9A01.1;Absceso Del Párpado;2
9A01.2;Orzuelo;2
9A01.20;Orzuelo Externo;3
9A01.21;Orzuelo Interno;3
9A01.2Z;"Orzuelo, Sin Especificación";3
9A01.3;Blefaritis Infecciosa;2
9A01.4;Infestación Del Párpado;2
9A01.Y;Otros Trastornos Infecciosos Especificados Del Párpado;2
9A02;Trastornos Inflamatorios Del Párpado;1
9A02.0;Chalación;2
9A02.00;Chalación Externo;3
9A02.01;Chalación Interno;3
9A02.0Y;Otro Chalación Especificado;3
9A02.0Z;"Chalación, Sin Especificación";3
9A02.1;Blefaritis Posterior;2
9A02.2;Conjuntivitis Leñosa;2
9A02.4;Disfunción De Las Glándulas De Meibomio;2
9A02.Y;Otros Trastornos Inflamatorios Especificados Del Párpado;2
9A03;Posición Anómala Adquirida Del Párpado;1
9A03.0;Blefaroptosis;2
9A03.00;Síndrome De Marcus-Gunn;3
9A03.01;Blefaroptosis Mecánica;3
9A03.02;Blefaroptosis Miógena;3
9A03.03;Blefaroptosis Paralítica;3
9A03.0Y;Otra Blefaroptosis Especificada;3
9A03.0Z;"Blefaroptosis, Sin Especificación";3
9A03.1;Entropión Del Párpado;2
9A03.10;Entropión Cicatricial Del Párpado;3
9A03.11;Entropión Mecánico Del Párpado;3
9A03.12;Entropión Senil Del Párpado;3
9A03.13;Entropión Espástico Del Párpado;3
9A03.1Y;Otro Entropión Especificado Del Párpado;3
9A03.1Z;"Entropión Del Párpado, Sin Especificación";3
9A03.2;Ectropión Del Párpado;2
9A03.20;Ectropión Cicatricial Del Párpado;3
9A03.21;Ectropión Mecánico Del Párpado;3
9A03.22;Ectropión Senil Del Párpado;3
9A03.23;Ectropión Espástico Del Párpado;3
9A03.24;Síndrome Del Párpado Laxo;3
9A03.2Y;Otro Ectropión Especificado Del Párpado;3
9A03.2Z;"Ectropión Del Párpado, Sin Especificación";3
9A03.3;Retracción Parpebral;2
9A03.4;Lagoftalmos;2
9A03.40;Lagoftalmos Cicatricial;3
9A03.41;Lagoftalmos Mecánico;3
9A03.42;Lagoftalmos Paralítico;3
9A03.4Y;Otro Lagoftalmos Especificado;3
9A03.4Z;"Lagoftalmos, Sin Especificación";3
9A03.5;Dermatocalasia Del Párpado;2
9A03.Y;Otra Posición Anómala Adquirida Especificada Del Párpado;2
9A03.Z;"Posición Anómala Adquirida Del Párpado, Sin Especificación";2
9A04;Trastornos Adquiridos De Las Pestañas;1
9A04.0;Triquiasis Sin Entropión;2
9A04.1;Madarosis Del Párpado O De La Zona Periocular;2
9A04.Y;Otros Trastornos Adquiridos Especificados De Las Pestañas;2
9A05;Trastornos Del Movimiento Del Párpado;1
9A05.0;Mioquimia Del Párpado;2
9A05.1;Apraxia Del Párpado;2
9A05.Y;Otros Trastornos Del Movimiento Especificados Del Párpado;2
9A05.Z;"Trastornos Del Movimiento Del Párpado, Sin Especificación";2
9A06;Algunos Trastornos Especificados Del Párpado;1
9A06.0;Afectación Del Párpado Por Dermatosis No Clasificada En Otra Parte;2
9A06.1;Vitiligo Del Párpado O De La Zona Periocular;2
9A06.2;Simbléfaron Adquirido;2
9A06.3;Cicatriz Traumática Del Párpado;2
9A06.4;Xantelasma Del Párpado;2
9A06.5;Deformidad Del Surco Lagrimal;2
9A06.6;Deformidad De Surco Hundido;2
9A06.7;Dermatitis O Eccema De Los Párpados;2
9A06.70;Eccema Atópico De Los Párpados;3
9A06.71;Dermatitis Seborreica De Los Párpados;3
9A06.72;Blefaroconjuntivitis De Contacto Alérgica;3
9A06.7Y;Otra Dermatitis Especificada O Eccema De Los Párpados;3
9A06.7Z;"Dermatitis O Eccema De Los Párpados, Sin Especificación";3
9A06.8;Blefarocalasia;2
9A06.Y;Otros Trastornos Especificados Del Párpado;2
9A0Y;Otros Trastornos Especificados Del Párpado O De La Zona Periocular;1
9A0Z;"Trastornos Del Párpado O De La Zona Periocular, Sin Especificación";1
9A10;Trastornos De La Glándula Lagrimal;1
9A10.0;Infecciones De Glándula Lagrimal;2
9A10.1;Síndrome Inflamatorio Orbitario;2
9A10.2;Lesión Linfoepitelial Benigna De Glándula Lagrimal;2
9A10.3;Hiperlagrimación;2
9A10.4;Hipolagrimación;2
9A10.Y;Otros Trastornos Especificados De La Glándula Lagrimal;2
9A10.Z;"Trastornos De La Glándula Lagrimal, Sin Especificación";2
9A11;Trastornos Del Sistema De Drenaje Lagrimal;1
9A11.0;Eversión Del Punto Lagrimal;2
9A11.1;Canaliculitis;2
9A11.2;Dacriocistitis;2
9A11.3;Conjuntivocalasia;2
9A11.4;Estenosis Del Punto Lagrimal;2
9A11.5;Estenosis Canalicular Nasolagrimal;2
9A11.6;Dacriolito;2
9A11.7;Estenosis Del Saco Nasolagrimal;2
9A11.8;Obstrucción Del Conducto Nasolagrimal;2
9A11.Y;Otros Trastornos Especificados Del Sistema De Drenaje Lagrimal;2
9A11.Z;"Trastornos Del Sistema De Drenaje Lagrimal, Sin Especificación";2
9A1Y;Otros Trastornos Especificados Del Aparato Lagrimal;1
9A1Z;"Trastornos Del Aparato Lagrimal, Sin Especificación";1
9A20;Desplazamiento Del Globo Ocular;1
9A20.0;Desplazamiento Axial Del Globo Ocular;2
9A20.00;Desplazamiento Del Globo Ocular Hacia Fuera;3
9A20.01;Desplazamiento Del Globo Ocular Hacia Dentro;3
9A20.0Y;Otro Desplazamiento Axial Especificado Del Globo Ocular;3
9A20.0Z;"Desplazamiento Axial Del Globo Ocular, Sin Especificación";3
9A20.1;Desplazamiento No Axial Del Globo Ocular;2
9A20.Y;Otro Desplazamiento Especificado Del Globo Ocular;2
9A20.Z;"Desplazamiento Del Globo Ocular, Sin Especificación";2
9A21;Infección Orbitaria;1
9A21.0;Celulitis Orbitaria;2
9A21.1;Absceso Subperióstico Orbitario;2
9A21.2;Absceso Orbitario;2
9A21.3;Periostitis De La órbita;2
9A21.Y;Otra Infección Orbitaria Especificada;2
9A21.Z;"Infección Orbitaria, Sin Especificación";2
9A22;Inflamación Orbitaria;1
9A22.0;Orbitopatía Distiroidea;2
9A22.1;Inflamación Orbitaria Difusa;2
9A22.2;Inflamación Granulomatosa Orbitaria;2
9A22.Y;Otra Inflamación Orbitaria Especificada;2
9A22.Z;"Inflamación Orbitaria, Sin Especificación";2
9A23;Quiste Orbitario;1
9A23.0;Quiste Orbitario Congénito;2
9A23.1;Quiste Orbitario Adquirido;2
9A23.Z;"Quiste Orbitario, Sin Especificación";2
9A24;Deformidad ósea De La órbita;1
9A24.0;Contracción De La órbita;2
9A24.1;Expansión De La órbita;2
9A24.2;Distorsión De La órbita;2
9A24.3;Ampliación De La órbita ósea;2
9A24.4;Exostosis De La órbita;2
9A24.Y;Otra Deformidad ósea Especificada De La órbita;2
9A24.Z;"Deformidad ósea De La órbita, Sin Especificación";2
9A25;Deformidad De Partes Blandas De La órbita;1
9A25.0;Órbita Anoftálmica;2
9A25.1;Órbita Microftálmica;2
9A25.2;Órbita Contraída;2
9A25.3;Edema De La órbita;2
9A25.4;Hemorragia De La órbita;2
9A25.5;Atrofia De Partes Blandas De La órbita;2
9A25.Y;Otra Deformidad Especificada De Partes Blandas De La órbita;2
9A25.Z;"Deformidad De Partes Blandas De La órbita, Sin Especificación";2
9A26;Deformidad Combinada De La órbita (ósea Y De Partes Blandas);1
9A2Y;Otros Trastornos Especificados De La órbita;1
9A2Z;"Trastornos De La órbita, Sin Especificación";1
9A4Y;Otros Trastornos Especificados De Los Anexos Oculares O De La órbita;1
9A4Z;"Trastornos Anexos Oculares O De La órbita, Sin Especificación";1
9A60;Conjuntivitis;1
9A60.0;Conjuntivitis Papilar;2
9A60.00;Conjuntivitis Papilar Gigante;3
9A60.01;Conjuntivitis Atópica Aguda;3
9A60.02;Conjuntivitis Alérgica;3
9A60.0Y;Otra Conjuntivitis Papilar Especificada;3
9A60.0Z;"Conjuntivitis Papilar, Sin Especificación";3
9A60.1;Conjuntivitis Folicular;2
9A60.2;Conjuntivitis Cicatrizante;2
9A60.3;Conjuntivitis Mucopurulenta;2
9A60.30;Ulceración De La Conjuntiva;3
9A60.31;Absceso De La Conjuntiva;3
9A60.32;Conjuntivitis Por Bacilo De Koch-Weeks;3
9A60.33;Conjuntivitis Epidémica Aguda;3
9A60.3Y;Otra Conjuntivitis Mucopurulenta Especificada;3
9A60.3Z;"Conjuntivitis Mucopurulenta, Sin Especificación";3
9A60.4;Blefaroconjuntivitis;2
9A60.5;Queratoconjuntivitis Vernal;2
9A60.6;Conjuntivitis Serosa No Viral;2
9A60.Y;Otra Conjuntivitis Especificada;2
9A60.Z;"Conjuntivitis, Sin Especificación";2
9A61;Algunos Trastornos Especificados De La Conjuntiva;1
9A61.0;Pinguécula;2
9A61.1;Pterigion;2
9A61.2;Seudopterigion De La Conjuntiva;2
9A61.3;Cicatrices Conjuntivales;2
9A61.4;Trastornos Vasculares De La Conjuntiva;2
9A61.40;Anomalías Vasculares De La Conjuntiva;3
9A61.4Y;Otros Trastornos Vasculares Especificados De La Conjuntiva;3
9A61.4Z;"Trastornos Vasculares De La Conjuntiva, Sin Especificación";3
9A61.5;Hemorragia Conjuntival O Subconjuntival;2
9A61.6;Degeneraciones O Depósitos Conjuntivales O Subconjuntivales;2
9A61.Z;"Otros Trastornos Especificados De La Conjuntiva, Sin Especificación";2
9A62;Penfigoide De La Membrana Mucosa Con Compromiso Ocular;1
9A6Y;Otros Trastornos Especificados De La Conjuntiva;1
9A6Z;"Trastornos De La Conjuntiva, Sin Especificación";1
9A70;Distrofias Corneales Hereditarias;1
9A70.0;Distrofia Corneal Endotelial;2
9A70.Y;Otras Distrofias Corneales Hereditarias Especificadas;2
9A70.Z;"Distrofias Corneales Hereditarias, Sin Especificación";2
9A71;Queratitis Infecciosa;1
9A72;Queratitis Traumática;1
9A73;Queratitis De Exposición;1
9A74;Queratitis Neurotrófica;1
9A75;Queratitis Autoinmunitaria;1
9A76;Úlcera Corneal;1
9A77;Cicatrices U Opacidades Corneales;1
9A77.0;Infiltrados Corneales Asociados A Lentes De Contacto;2
9A77.1;Leucoma Adherente;2
9A77.Y;Otras Cicatrices U Opacidades Corneales Especificadas;2
9A77.Z;"Cicatrices U Opacidades Corneales, Sin Especificación";2
9A78;Algunos Trastornos Especificados De La Córnea;1
9A78.0;Neovascularización Corneal;2
9A78.1;Pigmentaciones O Depósitos Corneales;2
9A78.2;Edema Corneal;2
9A78.20;Queratopatía Vesicular;3
9A78.21;Edema Corneal Secundario;3
9A78.2Y;Otro Edema Corneal Especificado;3
9A78.2Z;"Edema Corneal, Sin Especificación";3
9A78.3;Cambios En Las Membranas De La Córnea;2
9A78.4;Degeneración Corneal;2
9A78.5;Deformidades Corneales;2
9A78.50;Queratocono;3
9A78.51;Estafiloma Corneal;3
9A78.5Y;Otras Deformidades Corneales Especificadas;3
9A78.5Z;"Deformidades Corneales, Sin Especificación";3
9A78.6;Anestesia De La Córnea;2
9A78.7;Hipoestesia De La Córnea;2
9A78.8;Erosión Recurrente De La Córnea;2
9A78.9;Absceso Corneal;2
9A78.A;Queratitis Esclerosante;2
9A78.Z;"Algunos Trastornos Especificados De La Córnea, Sin Especificación";2
9A79;Queratoconjuntivitis Seca;1
9A7Y;Otros Trastornos Especificados De La Córnea;1
9A7Z;"Trastornos De La Córnea, Sin Especificación";1
9A80;Hipema;1
9A81;Parásitos En La Cámara Anterior Del Ojo;1
9A82;Quiste En La Cámara Anterior Del Ojo;1
9A83;Hipotonía Del Ojo De La Cámara Anterior Plana;1
9A8Y;Otros Trastornos Especificados De La Cámara Anterior;1
9A8Z;"Trastornos De La Cámara Anterior, Sin Especificación";1
9A90;Degeneración Del Iris O Del Cuerpo Ciliar;1
9A90.0;Trastornos Del ángulo De La Cámara;2
9A90.1;Degeneración Del Iris;2
9A90.2;Atrofia Del Iris;2
9A90.Y;Otra Degeneración Especificada Del Iris O Del Cuerpo Ciliar;2
9A90.Z;"Degeneración Del Iris O Del Cuerpo Ciliar, Sin Especificación";2
9A91;"Quiste Del Iris, Del Cuerpo Ciliar O De La Cámara Anterior";1
9A92;Membranas Pupilares Persistentes;1
9A93;Adherencias O Interrupciones Del Iris O Del Cuerpo Ciliar;1
9A94;Algunos Trastornos Especificados Del Iris O Del Cuerpo Ciliar;1
9A94.0;Rubeosis Del Iris;2
9A94.1;Síndrome Del Iris Flácido;2
9A94.2;Síndrome Del Iris En Meseta;2
9A94.Y;Otros Trastornos Especificados Del Iris O Del Cuerpo Ciliar;2
9A96;Uveítis Anterior;1
9A96.0;Uveítis Anterior No Asociada A Enfermedades Sistémicas;2
9A96.1;Uveítis Anterior Asociada A Enfermedades Sistémicas;2
9A96.2;Uveítis Anterior Asociada A Infección;2
9A96.3;Uveítis Anterior Primaria;2
9A96.Y;Otra Uveítis Anterior Especificada;2
9A96.Z;"Uveítis Anterior, Sin Especificación";2
9A9Y;Otros Trastornos Especificados De La úvea Anterior;1
9A9Z;"Trastornos De La úvea Anterior, Sin Especificación";1
9B00;Trastornos Del Sistema Pupilar Aferente;1
9B00.0;Defectos Pupilares Aferentes Relativos;2
9B00.1;Reacción Pupilar Amaurótica;2
9B00.2;Reacción Pupilar Paradójica A La Luz O A La Oscuridad;2
9B00.3;Pupilas De Wernicke;2
9B00.Y;Otros Trastornos Especificados Del Sistema Pupilar Aferente;2
9B00.Z;"Trastornos Del Sistema Pupilar Aferente, Sin Especificación";2
9B01;Trastornos Del Sistema Pupilar Eferente;1
9B01.0;Anisocoria Fisiológica;2
9B01.1;Pupilas Parasimpaticoparéticas;2
9B01.2;Inhibición Farmacológica De La Vía Parasimpática;2
9B01.3;Trastornos Del Esfínter Del Iris;2
9B01.4;Pupilas Parasimpaticotónicas Farmacológicas;2
9B01.5;Pupilas Simpaticoparéticas Farmacológicas;2
9B01.6;Pupilas Simpaticotónicas;2
9B01.7;Midriasis Unilateral Episódica;2
9B01.Y;Otros Trastornos Especificados Del Sistema Pupilar Eferente;2
9B01.Z;"Trastornos Del Sistema Pupilar Eferente, Sin Especificación";2
9B02;Disociaciones De Luz Y Acomodación;1
9B02.0;Pupila De Argyll Robertson;2
9B02.1;Disociaciones Pregeniculadas De Luz Y Acomodación;2
9B02.2;Disociaciones Mesencefálicas De Luz Y Acomodación;2
9B02.Y;Otras Disociaciones De Luz Y Acomodación Especificadas;2
9B02.Z;"Disociaciones De Luz Y Acomodación, Sin Especificación";2
9B0Y;Otros Trastornos Funcionales Especificados De La Pupila;1
9B0Z;"Trastornos Funcionales De La Pupila, Sin Especificación";1
9B10;Catarata;1
9B10.0;Catarata Relacionada Con La Edad;2
9B10.00;Catarata Coronaria Relacionada Con La Edad;3
9B10.01;Catarata Punteada Relacionada Con La Edad;3
9B10.02;Catarata Madura Relacionada Con La Edad;3
9B10.0Y;Otra Catarata Especificada Relacionada Con La Edad;3
9B10.0Z;"Catarata Relacionada Con La Edad, Sin Especificación";3
9B10.1;Catarata Infantil O Juvenil;2
9B10.10;Formas Combinadas De Catarata Infantil O Juvenil;3
9B10.1Y;Otra Catarata Especificada Infantil O Juvenil;3
9B10.1Z;"Catarata Infantil O Juvenil, Sin Especificación";3
9B10.2;Algunas Cataratas Especificadas;2
9B10.20;Catarata Traumática;3
9B10.21;Catarata Diabética;3
9B10.22;Catarata Secundaria;3
9B10.23;Manchas Glaucomatosas Subcapsulares;3
9B10.2Y;Otras Cataratas Especificadas;3
9B10.Z;"Catarata, Sin Especificación";2
9B11;Algunos Trastornos Especificados Del Cristalino;1
9B11.0;Afaquia;2
9B11.1;Luxación Del Cristalino;2
9B1Z;"Trastornos Del Cristalino, Sin Especificación";1
9B3Y;Otros Trastornos Especificados Del Segmento Anterior Del Globo Ocular;1
9B3Z;"Trastornos Del Segmento Anterior Del Globo Ocular, Sin Especificación";1
9B50;Epiescleritis;1
9B51;Escleritis;1
9B52;Estafiloma Escleral;1
9B5Y;Otros Trastornos Especificados De La Esclerótica;1
9B5Z;"Trastornos De La Esclerótica, Sin Especificación";1
9B60;Degeneración Coroidea;1
9B61;Distrofia Coroidal;1
9B62;Cicatrices Coriorretinianas;1
9B63;Hemorragia O Ruptura Coroidea;1
9B64;Desprendimiento Coroideo;1
9B65;Coroiditis;1
9B65.0;Coroiditis No Infecciosa;2
9B65.1;Coroiditis Infecciosa;2
9B65.2;Inflamación Coriorretiniana;2
9B65.Z;"Coroiditis, Sin Especificación";2
9B66;Uveítis Intermedia;1
9B66.0;Uveítis Intermedia No Infecciosa;2
9B66.1;Uveítis Intermedia Infecciosa;2
9B66.Z;"Coroiditis Intermedia, Sin Especificación";2
9B6Y;Otros Trastornos Especificados De La Coroides;1
9B6Z;"Trastornos De La Coroides, Sin Especificación";1
9B70;Distrofia Retiniana Hereditaria;1
9B71;Retinopatía;1
9B71.0;Retinopatía Diabética;2
9B71.00;Retinopatía Diabética No Proliferativa;3
9B71.01;Retinopatía Diabética Proliferativa;3
9B71.02;Edema Macular Diabético;3
9B71.0Z;"Retinopatía Diabética, Sin Especificación";3
9B71.1;Retinopatía Hipertensiva;2
9B71.2;Retinopatía Por Radiación;2
9B71.3;Retinopatía Del Prematuro;2
9B71.4;Retinopatía Paraneoplásica;2
9B71.40;Retinopatía Asociada A Melanoma;3
9B71.4Y;Otra Retinopatía Paraneoplásica Especificada;3
9B71.4Z;"Retinopatía Paraneoplásica, Sin Especificación";3
9B71.5;Retinopatía Autoinmunitaria;2
9B71.Y;Otra Retinopatía Especificada;2
9B71.Z;"Retinopatía, Sin Especificación";2
9B72;Enfermedades Inflamatorias De La Retina;1
9B72.0;Retinitis Viral;2
9B72.00;Retinitis Por Citomegalovirus;3
9B72.01;Retinitis Por Vih;3
9B72.0Y;Otra Retinitis Viral Especificada;3
9B72.0Z;"Retinitis Viral, Sin Especificación";3
9B72.Y;Otras Enfermedades Inflamatorias Especificadas De La Retina;2
9B72.Z;"Enfermedades Inflamatorias De La Retina, Sin Especificación";2
9B73;Desprendimientos O Roturas De La Retina;1
9B73.0;Desprendimiento De Retina Con Desgarro;2
9B73.1;Retinosquisis;2
9B73.10;Retinosquisis Del Adulto;3
9B73.11;Retinosquisis Juvenil;3
9B73.1Y;Otra Retinosquisis Especificada;3
9B73.1Z;"Retinosquisis, No Especificada";3
9B73.2;Quiste De La Retina;2
9B73.3;Desprendimiento Seroso De Retina;2
9B73.4;Roturas Retinianas Sin Desprendimiento;2
9B73.Y;Otros Desprendimientos O Roturas Especificados De La Retina;2
9B73.Z;"Desprendimientos O Roturas De La Retina, Sin Especificación";2
9B74;Oclusión Vascular Retiniana;1
9B74.0;Oclusión Arterial Retiniana;2
9B74.1;Oclusión Venosa Retiniana;2
9B74.2;Oclusión De Arteria Y Vena Retiniana Combinada;2
9B74.Y;Otra Oclusión Vascular Retiniana Especificada;2
9B74.Z;"Oclusión Vascular Retiniana, Sin Especificación";2
9B75;Trastornos Maculares;1
9B75.0;Degeneración Macular Relacionada Con La Edad;2
9B75.00;Degeneración Macular Incipiente Relacionada Con La Edad;3
9B75.01;Degeneración Macular Intermedia Relacionada Con La Edad;3
9B75.02;Degeneración Macular Avanzada Relacionada Con La Edad;3
9B75.0Y;Otra Degeneración Macular Especificada Relacionada Con La Edad;3
9B75.0Z;"Degeneración Macular Relacionada Con La Edad, Sin Especificación";3
9B75.1;Agujero Macular No Traumático;2
9B75.2;Coriorretinopatía Serosa Central;2
9B75.3;Telangiectasia Macular;2
9B75.Y;Otros Trastornos Maculares Especificados;2
9B75.Z;"Trastornos Maculares, Sin Especificación";2
9B76;Miopía Degenerativa Alta;1
9B77;Enfermedad De Eales;1
9B78;Algunos Trastornos Retinianos Especificados;1
9B78.0;Vasculopatía Retiniana Y Leucodistrofia Cerebral;2
9B78.1;Retinopatía De Fondo Y Cambios Vasculares Retinianos;2
9B78.10;Cambios En La Apariencia Vascular Retiniana;3
9B78.11;Retinopatía Exudativa;3
9B78.12;Vasculitis Retiniana;3
9B78.13;Telangiectasia Retiniana;3
9B78.1Y;Otra Retinopatía De Fondo Especificada Y Cambios Vasculares Retinianos;3
9B78.1Z;"Retinopatía De Fondo Y Cambios Vasculares Retinianos, Sin Especificación";3
9B78.2;Otras Retinopatías Proliferativas;2
9B78.3;Degeneración De La Mácula O Del Polo Posterior;2
9B78.30;Seudodrusas Reticulares;3
9B78.3Y;Otra Degeneración Especificada De La Mácula O Del Polo Posterior;3
9B78.3Z;"Degeneración De La Mácula O Del Polo Posterior, Sin Especificación";3
9B78.4;Degeneración Periférica De La Retina;2
9B78.5;Hemorragia Retiniana;2
9B78.6;Separación De Las Capas De La Retina;2
9B78.60;Desprendimiento Seroso Del Epitelio Pigmentario De La Retina;3
9B78.61;Desprendimiento Hemorrágico Del Epitelio Pigmentario De La Retina;3
9B78.6Y;Otra Separación Especificada De Las Capas De La Retina;3
9B78.6Z;"Separación De Las Capas De La Retina, Sin Especificación";3
9B78.7;Edema Retiniano;2
